# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457222.65525,   1.0840000000000E+04
2457222.65593,   1.0600000000000E+04
2457222.65662,   1.1087000000000E+04
2457222.65731,   1.0964000000000E+04
2457222.658,   1.0460000000000E+04
2457222.65869,   1.0657000000000E+04
2457222.65938,   1.0805000000000E+04
2457222.66007,   1.0645000000000E+04
2457222.66075,   1.0601000000000E+04
2457222.66144,   1.0646000000000E+04
2457222.66213,   1.0652000000000E+04
2457222.66282,   1.0781000000000E+04
2457222.66351,   1.0943000000000E+04
2457222.6642,   1.0477000000000E+04
2457222.66489,   1.0562000000000E+04
2457222.66558,   1.0758000000000E+04
2457222.66626,   1.0718000000000E+04
2457222.66695,   1.0495000000000E+04
2457222.66764,   1.0755000000000E+04
2457222.66833,   1.0759000000000E+04
2457222.66902,   1.0503000000000E+04
2457222.66971,   1.0720000000000E+04
2457222.6704,   1.0473000000000E+04
2457222.67108,   1.0507000000000E+04
2457222.67177,   1.1004000000000E+04
2457222.67246,   1.0912000000000E+04
2457222.67315,   1.0668000000000E+04
2457222.67384,   1.0585000000000E+04
2457222.67453,   1.0549000000000E+04
2457222.67522,   1.0479000000000E+04
2457222.67591,   1.0465000000000E+04
2457222.67659,   1.0537000000000E+04
2457222.67728,   1.0578000000000E+04
2457222.67797,   1.0880000000000E+04
2457222.67866,   1.0945000000000E+04
2457222.67935,   1.0499000000000E+04
2457222.68004,   1.0703000000000E+04
2457222.68073,   1.0840000000000E+04
2457222.68141,   1.0714000000000E+04
2457222.6821,   1.0726000000000E+04
2457222.68279,   1.0544000000000E+04
2457222.68348,   1.0566000000000E+04
2457222.68417,   1.0602000000000E+04
2457222.68486,   1.0272000000000E+04
2457222.68555,   1.0627000000000E+04
2457222.68623,   1.0663000000000E+04
2457222.68692,   1.0467000000000E+04
2457222.68761,   1.0631000000000E+04
2457222.6883,   1.0834000000000E+04
2457222.68899,   1.0602000000000E+04
2457222.68968,   1.0655000000000E+04
2457222.69037,   1.0723000000000E+04
2457222.69106,   1.0713000000000E+04
2457222.69174,   1.0527000000000E+04
2457222.69243,   1.0606000000000E+04
2457222.69312,   1.0553000000000E+04
2457222.69381,   1.0706000000000E+04
2457222.6945,   1.0764000000000E+04
2457222.69519,   1.0775000000000E+04
2457222.69588,   1.1027000000000E+04
2457222.69656,   1.1005000000000E+04
2457222.69725,   1.0945000000000E+04
2457222.69794,   1.0925000000000E+04
2457222.69863,   1.1312000000000E+04
2457222.69932,   1.0982000000000E+04
2457222.70001,   1.0825000000000E+04
2457222.7007,   1.1237000000000E+04
2457222.70139,   1.1179000000000E+04
2457222.70207,   1.1136000000000E+04
2457222.70276,   1.1210000000000E+04
2457222.70345,   1.1301000000000E+04
2457222.70414,   1.1304000000000E+04
2457222.70483,   1.1386000000000E+04
2457222.70552,   1.1803000000000E+04
2457222.70621,   1.1411000000000E+04
2457222.70689,   1.1927000000000E+04
2457222.70758,   1.1742000000000E+04
2457222.70827,   1.1669000000000E+04
2457222.70896,   1.1729000000000E+04
2457222.70965,   1.1745000000000E+04
2457222.71034,   1.1805000000000E+04
2457222.71103,   1.1782000000000E+04
2457222.71172,   1.2071000000000E+04
