EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
233968849, 259.346584, -21.679328, 10.607, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
234150189, 260.864187, -20.748302, 10.911, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
234165004, 260.859639, -20.676639, 10.841, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
234167177, 260.808053, -20.6662, 11.202, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
234170917, 260.799226, -20.648269, 11.572, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
234246880, 260.601021, -20.278276, 11.449, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
234255637, 260.537287, -20.235247, 11.292, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
234295403, 260.481337, -20.034656, 10.641, GO11098_LC
234307215, 260.424282, -19.973758, 10.967, GO11098_LC
234419515, 260.237814, -19.375866, 11.539, GO11071_LC|GO11122_LC|GO11098_LC
234440852, 259.053285, -19.254595, 10.584, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
234443973, 259.031351, -19.236879, 11.388, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC
