EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200161448, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161449, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161450, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161451, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161452, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161453, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161454, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161455, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161456, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161457, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161458, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161459, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161460, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161461, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161462, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161463, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
